	stat	logfc	pval	qval	initial_mean	final_mean	initial_mean_ori	final_mean_ori
ENSMUSG00000001655_LINE1151_Hoxc13_D	0.7615744335701116	1.5101922707375437	0.0	0.0	0.25715458327172214	0.7509844842307478	-1.1335031	3.292324
ENSMUSG00000050328_LINE1373_Hoxc12_D	0.6418447316791491	1.1322921851136472	0.0	0.0	0.31808264572726147	0.7091792857921836	-0.5930948	2.0094206
ENSMUSG00000038227_LINE1311_Hoxa9_D_N1	0.5938930475544455	1.0169048777334975	2.4758095379622413e-278	4.497720660631405e-276	0.3424112820227447	0.7031299467173653	-0.5252169	1.7196867
ENSMUSG00000020875_LINE1188_Hoxb9_I	0.59096033595064	0.9338318430612066	6.213714529499222e-275	8.46618604644269e-273	0.3579157518713147	0.6928453529006167	-0.42598823	1.8692713
ENSMUSG00000032481_LINE6526_Smarcc1_I_N2	0.5646900154394525	1.3797871370070638	5.588965334776748e-246	6.091972214906655e-244	0.19798085871643778	0.5312285314942606	-2.6518037	3.8126278
ENSMUSG00000040270_LINE222_Bach2_I	0.5639127317111338	1.362391228530273	3.670214267086746e-245	3.3337779592704604e-243	0.2081357261693254	0.5508509057437797	-2.1446514	3.1636465
ENSMUSG00000025612_LINE191_Bach1_I	0.5554144065049322	1.3445124954314858	2.2960264434085775e-236	1.7876205880823925e-234	0.20463683763778626	0.5350581673842788	-2.2380311	3.168309
ENSMUSG00000021250_LINE181_Fos_I	0.5497386833519484	1.3503115883108483	1.245936930370222e-230	8.487945338147138e-229	0.20162581164601182	0.5295763777628509	-2.5550292	3.6836977
ENSMUSG00000071076_LINE258_Jund_D	0.5493805352746769	1.328730001278823	2.8422457437038553e-230	1.721137700354001e-228	0.21467694612508262	0.5543468414398842	-1.8790816	2.7856748
ENSMUSG00000055053_LINE1700_Nfic_I	-0.5367561758540645	1.080905555402921	6.388640561670867e-218	3.481809106110622e-216	0.5974160227937005	0.2771449938951257	0.8370258	-1.5326675
ENSMUSG00000052837_LINE241_Junb_D	0.5324006657819329	1.2609095532819599	8.837447402880796e-214	4.3785534859727576e-212	0.2126980930186222	0.5236888082573037	-1.7422396	2.35786
ENSMUSG00000003545_LINE172_Fosb_I	0.5274348940025082	1.2899523795314591	3.927341780229289e-209	1.783667725187469e-207	0.19907382133804194	0.5012272750926935	-1.9944828	2.6537042
ENSMUSG00000020656_LINE1130_Grhl1_I	0.5266980727732945	1.1122182599028136	1.8930478355716772e-208	7.936239002973569e-207	0.286816658932533	0.6316516718375635	-1.410472	1.3835074
ENSMUSG00000058794_LINE251_Nfe2_I	0.5264149532719322	1.2436955335855155	3.460798920191177e-208	1.3472395796458512e-206	0.22135873289920574	0.5378675248700244	-1.5049232	2.0888228
ENSMUSG00000031162_LINE1118_Gata1_D	-0.50436963177281	0.9984567204357266	1.5778752725283993e-188	5.73294682351985e-187	0.4856613110140546	0.23809590673275777	0.10156459	-2.2054265
ENSMUSG00000015839_LINE175_Nfe2l2_D	0.5019214381738917	1.1686660165886218	1.9651204622263397e-186	6.69369157445847e-185	0.23148091352556577	0.5328581171261111	-1.2800032	1.7854142
ENSMUSG00000042499_LINE1350_Hoxd11_D	0.4992742591329236	0.8718496030670401	3.466376658206062e-184	1.1112795757190021e-182	0.3646228881513489	0.6755627148923243	-0.4302185	1.2180084
ENSMUSG00000024912_LINE189_Fosl1_D	0.4950912381162183	1.184418220951586	1.1210723168287554e-180	3.394357848175954e-179	0.236713062548286	0.5507090377617067	-1.3411399	1.8231385
ENSMUSG00000024619_LINE1215_Cdx1_D	0.4945717988516458	0.791961671982815	3.034374945647633e-180	8.703864975673473e-179	0.3863058985985609	0.6761747852775979	-0.31850946	1.3470589
ENSMUSG00000015619_LINE1113_Gata3_D	-0.49451732605274407	0.9834011909102167	3.3680213433304386e-180	9.177858160575445e-179	0.4940284470840343	0.24493049675634132	0.1829414	-2.0761762
ENSMUSG00000021944_LINE1116_Gata4_D_N1	-0.4939605839747476	0.9857770918913311	9.771306223460203e-180	2.5358866151361003e-178	0.4856881483222138	0.24029954581233448	0.12761061	-2.1003208
ENSMUSG00000005836_LINE1110_Gata6_D	-0.4928093377762435	0.9946932499789323	8.785588956927124e-179	2.176429991602401e-177	0.48278955377323673	0.2373027742323881	0.14660825	-2.1015148
ENSMUSG00000034266_LINE573_Batf_I_N1	0.44818562077237334	1.0644975468273252	1.7207721610430523e-144	3.9075867823685976e-143	0.2376774010265749	0.5080027599693199	-1.1369392	1.2992913
ENSMUSG00000026630_LINE553_Batf3_I_N1	0.44818562077237334	1.0644975468273252	1.7207721610430523e-144	3.9075867823685976e-143	0.2376774010265749	0.5080027599693199	-1.1369392	1.2992913
ENSMUSG00000024985_LINE1715_Tcf7l2_D	0.4396961117781258	0.8061970284768443	1.5893748142888946e-138	3.46483709514979e-137	0.37358740008819774	0.6607394048785924	-0.572811	1.9320825
ENSMUSG00000054191_LINE628_Klf1_D	0.4347221143354181	0.9567189069996148	4.1521765840608165e-135	8.703600916589019e-134	0.3096729106432009	0.61045019268228	-0.87584865	1.2568489
ENSMUSG00000027985_LINE1723_Lef1_D	0.43381582576138733	0.7877711139303541	1.7169152997680547e-134	3.465625327309592e-133	0.37402495504462324	0.6529826786438893	-0.556276	1.9102038
ENSMUSG00000001911_LINE1689_Nfix_I	-0.42493937808733195	0.8394756938071942	1.4933258466963604e-128	2.9066520944625586e-127	0.6109257341185743	0.3370022533325508	0.6847596	-0.97780406
ENSMUSG00000055799_LINE1755_Tcf7l1_D	0.41406256301969147	0.7238722883424825	1.6330223539094778e-121	3.068955803036777e-120	0.4011603926943865	0.6690762535537377	-0.43280238	1.5515125
ENSMUSG00000045608_LINE1361_Dbx2_D	-0.4098195611336626	0.9366060389219469	7.744612765869928e-119	1.3615528894835841e-117	0.6593679358756444	0.33971832776388206	0.8868984	-1.4800322
ENSMUSG00000029755_LINE1267_Dlx5_D	-0.4098195611336626	0.9366060389219469	7.744612765869928e-119	1.3615528894835841e-117	0.6593679358756444	0.33971832776388206	0.8868984	-1.4800322
ENSMUSG00000014767_LINE1805_Tbp_D	0.3976869765568392	0.6880367673647688	2.137402107269601e-111	3.529951965036159e-110	0.41083239475280325	0.6679987115765503	-0.30529606	0.85567445
ENSMUSG00000061809_LINE1806_Tbpl2_I	0.3976869765568392	0.6880367673647688	2.137402107269601e-111	3.529951965036159e-110	0.41083239475280325	0.6679987115765503	-0.30529606	0.85567445
ENSMUSG00000023391_LINE1210_Dlx2_D_N2	-0.39241193023997917	0.91600961022734	2.94701493935212e-108	4.7238915939614863e-107	0.6366951036530785	0.3327308545219114	0.7631745	-1.210596
ENSMUSG00000052684_LINE240_Jun_D	0.38882589625607195	0.8802183775871187	3.7250422043923306e-106	5.8004228611252e-105	0.2926916877234395	0.5471506342680508	-0.7816409	1.0332984
ENSMUSG00000008575_LINE7350_Nfib_I_N4	-0.3871060296143377	0.7695361171219068	3.714312833572571e-105	5.471082417019057e-104	0.5795973656739978	0.3358613883044716	0.5429224	-0.78330445
ENSMUSG00000028565_LINE7375_Nfia_I_N4	-0.3871060296143377	0.7695361171219068	3.714312833572571e-105	5.471082417019057e-104	0.5795973656739978	0.3358613883044716	0.5429224	-0.78330445
ENSMUSG00000041649_LINE492_Klf8_D	0.38405134586855966	0.8446467419057695	2.1334515170042572e-103	3.059818623071895e-102	0.3340562383059692	0.6078647826273053	-0.6502187	0.9249764
ENSMUSG00000032033_LINE1280_Barx2_D	-0.37925246848358546	0.8896332688571708	1.135328637608555e-100	1.5865489935811857e-99	0.6356000338099262	0.33846346067452465	0.7460367	-1.1869422
ENSMUSG00000057469_LINE996_E2f6_I	-0.3726862569302924	0.8556856550769494	5.145489586038786e-97	7.010729560977845e-96	0.5974602613846473	0.32568414072106383	0.3852499	-0.81799054
ENSMUSG00000014859_LINE988_E2f4_I	-0.3698752301343564	0.8146131176119871	1.782293494993832e-95	2.3691462311503376e-94	0.5920710947188041	0.3323141046317935	0.32809645	-0.76149064
ENSMUSG00000055148_LINE1590_Klf2_I_N14	0.36888330441529843	0.8088284813291937	6.174315185022669e-95	7.647731308721261e-94	0.3398362128782612	0.602839002721315	-0.599228	0.89257437
ENSMUSG00000000078_LINE740_Klf6_I_N15	0.36888330441529843	0.8088284813291937	6.174315185022669e-95	7.647731308721261e-94	0.3398362128782612	0.602839002721315	-0.599228	0.89257437
ENSMUSG00000029178_LINE1101_Klf3_I_N15	0.36888330441529843	0.8088284813291937	6.174315185022669e-95	7.647731308721261e-94	0.3398362128782612	0.602839002721315	-0.599228	0.89257437
ENSMUSG00000003032_LINE286_Klf4_D_N2	0.3649925525420261	0.7668028146344372	7.742609469642767e-93	9.377160357678462e-92	0.34681738204693385	0.5971229505691654	-0.5940474	0.8750413
