	stat	logfc	pval	qval	initial_mean	final_mean	initial_mean_ori	final_mean_ori
ENSMUSG00000027490_LINE993_E2f1_I	-0.36086651995625313	0.8252384406764631	1.2091271176972477e-90	1.43255278075e-89	0.5806620924200013	0.3233631378318483	0.34216177	-0.7346477
ENSMUSG00000006705_LINE1167_Pknox1_D	0.35923242250780996	0.7286931333517189	8.756009750661688e-90	1.0153245349171531e-88	0.36920787743731376	0.6183995151847749	-0.56770915	0.647131
ENSMUSG00000021055_LINE1597_Esr2_I	0.3573961822149099	0.7672571498283368	7.989090214707813e-89	9.070946181282829e-88	0.3691739448078965	0.6353657350879661	-0.48922855	0.7710392
Q8K439_MOUSE_LINE3878_Zfp263_I_N1	-0.3561956760110586	0.8227378159258324	3.3638083990674196e-88	3.741378729574987e-87	0.6114047091064176	0.34132234986546506	0.4442043	-0.7267011
ENSMUSG00000020160_LINE1184_Meis1_D_N2	0.3491038103271099	0.7091567843584314	1.4461035575580149e-84	1.5453459585668982e-83	0.372169240654103	0.6147887386957354	-0.54832405	0.6270946
ENSMUSG00000041420_LINE1338_Meis3_D_N2	0.3491038103271099	0.7091567843584314	1.4461035575580149e-84	1.5453459585668982e-83	0.372169240654103	0.6147887386957354	-0.54832405	0.6270946
ENSMUSG00000030678_LINE1154_Maz_I	-0.34881514056879415	0.8564379428543628	2.0235782784200235e-84	2.1208656956517554e-83	0.6138423694081889	0.33455722188233594	0.43240982	-0.70432544
ENSMUSG00000025019_LINE1648_Lcor_I	-0.3452425789904119	0.6984434589181038	1.2570524863096579e-82	1.2926294434693652e-81	0.5832450920496548	0.35557940574113134	0.4743198	-0.58121574
ENSMUSG00000027210_LINE1237_Meis2_D_N2	0.34316469034158475	0.6926921242075884	1.3539502192781798e-81	1.3664867953826072e-80	0.37266094489029267	0.6084936522312251	-0.54753244	0.5897486
ENSMUSG00000030353_LINE7613_Tead4_I_N1	-0.3374846449055044	0.631333306845691	8.19127914757338e-79	8.116812973504531e-78	0.5666455395400599	0.36227054441866596	0.5506758	-0.56164825
ENSMUSG00000031621_LINE1272_Isx_D	-0.3360571553274597	0.7918572135117353	4.01151792185448e-78	3.904066548947663e-77	0.6128464777284601	0.3497561602350885	0.5842912	-1.0801493
ENSMUSG00000021469_LINE1194_Msx2_D	-0.33295938050990326	0.776209828015566	1.2247135414908136e-76	1.170998035285076e-75	0.6394448136810861	0.36921002652915963	0.6438535	-1.101704
ENSMUSG00000072294_LINE811_Klf12_D_N1	0.3303423383472036	0.7154552174298049	2.1332391815021617e-75	2.0045092308942724e-74	0.3636337260761841	0.6035070418737221	-0.5116346	0.7259508
ENSMUSG00000026805_LINE1228_Barhl1_D_N3	-0.32515361535111453	0.7856218990916227	5.672375606256353e-73	5.23973678883002e-72	0.6252639715670681	0.3585177989047961	0.614035	-1.0382252
ENSMUSG00000032411_LINE986_Tfdp2_I	-0.3225982890357397	0.717248707978957	8.52182644041442e-72	7.613762967255506e-71	0.5594399384492806	0.3363654369929204	0.33326626	-0.6675969
ENSMUSG00000038482_LINE987_Tfdp1_I	-0.3225982890357397	0.717248707978957	8.52182644041442e-72	7.613762967255506e-71	0.5594399384492806	0.3363654369929204	0.33326626	-0.6675969
ENSMUSG00000032015_LINE1279_Pou2f3_D	-0.32199996883290805	0.801656982931598	1.6011176380849625e-71	1.4074340528327491e-70	0.5990947335067865	0.339431495027781	0.5232119	-1.0549117
ENSMUSG00000027684_LINE385_Mecom_D	-0.3129288127637443	0.625784524649161	1.9100206001256634e-67	1.6523194080452167e-66	0.4886348730070064	0.313148940033326	0.068401	-0.87813294
ENSMUSG00000041911_LINE1345_Dlx1_D_N2	-0.31193575456306133	0.7155939189786951	5.232886222972152e-67	4.456129674249723e-66	0.6346344626256264	0.38255298595276876	0.6857817	-1.1133171
ENSMUSG00000020185_LINE992_E2f7_I	-0.3108636685125233	0.6337352054399298	1.5466431478721974e-66	1.2968007932159193e-65	0.5535177386573301	0.3531903371243851	0.34225416	-0.6199868
ENSMUSG00000046179_LINE995_E2f8_I	-0.310797807562293	0.6683810963251656	1.6528729821889083e-66	1.3648723868075076e-65	0.5518189916217631	0.34350345062094534	0.3274986	-0.64686733
ENSMUSG00000001510_LINE1149_Dlx3_D	-0.30726190503920703	0.7044605290115381	5.705323881474526e-65	4.6408977841845026e-64	0.6279708710289531	0.3815048079146019	0.6156792	-1.216671
ENSMUSG00000030087_LINE1139_Klf15_I	-0.3071404050654256	0.7124731503319828	6.438045158677485e-65	5.159903840410631e-64	0.5987646742766312	0.3615126907158517	0.38277876	-0.59128034
ENSMUSG00000033943_LINE169_Mga_I	0.3035146271315195	0.6566001873092442	2.3079043546819173e-63	1.8229099613067318e-62	0.36508678617995066	0.5812730933694741	-0.5183467	0.54490894
ENSMUSG00000074622_LINE260_Mafb_D_N2	0.3029179603927454	0.6340468467114639	4.139115413557588e-63	3.222597000555551e-62	0.37842387321457693	0.592799709121276	-0.43716827	0.5923683
ENSMUSG00000021239_LINE1192_Vsx2_I	-0.3020808940131334	0.676039448026592	9.371411000447624e-63	7.1935478806252885e-62	0.6172421444535977	0.38257901302483993	0.5705271	-1.0811956
ENSMUSG00000050295_LINE1086_Foxc1_D_N2	-0.2979286508745421	0.5145887385014688	5.187719837706451e-61	3.9268157104861327e-60	0.572201484862733	0.3975366423445024	0.4572987	-0.5662066
ENSMUSG00000000782_LINE1702_Tcf7_D_N1	0.297663350012166	0.5570426180749918	6.689273332848614e-61	4.994046529318485e-60	0.41869447383073555	0.6207168332884132	-0.26342428	0.93863726
ENSMUSG00000035934_LINE1297_Pknox2_D_N1	0.29735107126107696	0.6134542119410509	9.019474025397035e-61	6.642720734920788e-60	0.3782653620246827	0.5840141175552724	-0.494666	0.47441828
ENSMUSG00000046714_LINE1082_Foxc2_D	-0.29542892354090006	0.5043307986358709	5.631036513778675e-60	4.091886533345837e-59	0.5723763090978425	0.40056790968858985	0.44447994	-0.559326
ENSMUSG00000022811_LINE962_Zfp148_I_N2	-0.29534942183970253	0.7227883034130068	6.072332102801994e-60	4.354501310561956e-59	0.5977426733629805	0.3582466223460615	0.35389376	-0.6713992
Q8K439_MOUSE_LINE3883_Zfp263_I_N2	-0.29346948849627325	0.6852759688899412	3.5904179145165337e-59	2.5412698226123515e-58	0.5743544569016351	0.3534023562046785	0.32492182	-0.5214537
ENSMUSG00000022676_LINE952_Snai2_I_N5	0.2928979139941567	0.6427338497061146	6.146754847214589e-59	4.294847938117886e-58	0.40737997647568663	0.641649067660462	-0.4056962	0.8140432
ENSMUSG00000038615_LINE215_Nfe2l1_I	0.2927461202793849	0.6231951743865355	7.088702160807633e-59	4.8291783470501996e-58	0.37977734699203797	0.590367308660918	-0.39649615	0.60913336
ENSMUSG00000029832_LINE1491_Nfe2l3_I_N2	0.2927461202793849	0.6231951743865355	7.088702160807633e-59	4.8291783470501996e-58	0.37977734699203797	0.590367308660918	-0.39649615	0.60913336
ENSMUSG00000021379_LINE72_Id4_I	0.29130779197367423	0.6403458515875163	2.7253526008358883e-58	1.8113623993360477e-57	0.39907523021732394	0.6276266970145421	-0.4898852	0.76103204
ENSMUSG00000007872_LINE48_Id3_I	0.29130779197367423	0.6403458515875163	2.7253526008358883e-58	1.8113623993360477e-57	0.39907523021732394	0.6276266970145421	-0.4898852	0.76103204
ENSMUSG00000062175_LINE1403_Tgif2_D	0.2910330306179857	0.6064831206608506	3.52176776784453e-58	2.3124860644280345e-57	0.37353113156145146	0.5739426991557212	-0.48507705	0.46172622
ENSMUSG00000070990_LINE1102_Foxe1_I	-0.2907966032404011	0.46036233305348223	4.390016465511629e-58	2.8482844925045686e-57	0.5890063569516687	0.425360035890778	0.46015027	-0.38560826
ENSMUSG00000020889_LINE6649_Nr1d1_I_N1	0.28712118808504666	0.5770791896117754	1.3137773782165951e-56	8.32568222241912e-56	0.40489840824410317	0.6089561957898529	-0.30078727	0.61210835
ENSMUSG00000021775_LINE6674_Nr1d2_I_N1	0.28712118808504666	0.5770791896117754	1.3137773782165951e-56	8.32568222241912e-56	0.40489840824410317	0.6089561957898529	-0.30078727	0.61210835
ENSMUSG00000024238_LINE266_Zeb1_I	0.2859569164859169	0.7009706760730581	3.8151059448492548e-56	2.3899226895894757e-55	0.3740684609722486	0.6143409842594474	-0.5102166	0.69200337
ENSMUSG00000052534_LINE1382_Pbx1_D	0.2851321948560303	0.571750737278825	8.093461406317081e-56	5.012427802775919e-55	0.41412104652162535	0.620382206928564	-0.27689457	0.7735669
ENSMUSG00000005897_LINE1578_Nr2c1_D_N2	0.2848604200921696	0.5337010608836367	1.0364015225710518e-55	6.3465037056317216e-55	0.420063275414235	0.6125760164118311	-0.31834516	0.5699338
ENSMUSG00000036192_LINE1623_Rorb_D	0.2811939709021232	0.6289878186883539	2.835829705341384e-54	1.703339380629183e-53	0.3832405433421572	0.5981384849529281	-0.3879278	0.6289366
ENSMUSG00000018899_LINE1497_Irf1_I	-0.2811907167048425	0.45986142403583186	2.844107956646893e-54	1.703339380629183e-53	0.5889099009932468	0.425441091846753	0.4353821	-0.37206003
ENSMUSG00000018678_LINE317_Sp2_I	-0.2779604357061635	0.6653028105405602	5.037130127092969e-53	2.983952086158335e-52	0.5755090133181663	0.35919642142443814	0.24686699	-0.5153538
ENSMUSG00000067724_LINE1410_Gbx1_D_N2	-0.27497177761591846	0.6503922118474661	6.953120827420552e-52	4.0746783343486026e-51	0.6025278682895246	0.38024584516159576	0.53150326	-1.0181028
ENSMUSG00000005442_LINE1706_Cic_D	0.27219827642855615	0.5916011785963728	7.715866655603371e-51	4.473560986493444e-50	0.3687606990382065	0.5607614198288735	-0.48621273	0.47024065
ENSMUSG00000002249_LINE7609_Tead3_I_N1	-0.27202856618672916	0.5425739137291582	8.931911801961734e-51	5.1240967705991e-50	0.5665000837312595	0.38579322128429955	0.4033129	-0.43321782
ENSMUSG00000034777_LINE1291_Vax2_D	-0.2708785924106592	0.6043107840828205	2.4012109693387095e-50	1.3631874773849964e-49	0.6240853639148658	0.40709218837433364	0.6134857	-0.957035
ENSMUSG00000050100_LINE1371_Hmx2_D	-0.27086119893744626	0.6310396016579104	2.4373072432031806e-50	1.3694148943770447e-49	0.6175409604201287	0.3952100698962487	0.61011076	-0.7317243
ENSMUSG00000043969_LINE1355_Emx2_D	-0.26814072958804025	0.625423651148928	2.480543851929329e-49	1.3794861217362084e-48	0.6212748668006163	0.39921092506495226	0.5971054	-0.91000247
ENSMUSG00000049295_LINE1480_Zfp219_I	-0.26769401798172116	0.6480608565921621	3.621514928878361e-49	1.9936622588269764e-48	0.5861965665979975	0.37045536598743056	0.41257182	-0.5599286
ENSMUSG00000001517_LINE5830_Foxm1_I_N1	-0.26751500023486807	0.47075734906973915	4.213685381162493e-49	2.2964585327335585e-48	0.5697774640208924	0.40835912649501316	0.3344919	-0.5201691
ENSMUSG00000020453_LINE325_Patz1_I	-0.2666832647453393	0.5928853405873449	8.503242786140432e-49	4.5883834836104307e-48	0.5705814214439777	0.37493452310390246	0.38006842	-0.5526696
ENSMUSG00000017491_LINE1585_Rarb_D_N1	0.2661155962063966	0.5110972130569631	1.3711153077282095e-48	7.326057281488962e-48	0.4123898060118364	0.5919619220072265	-0.31457967	0.5408848
ENSMUSG00000033863_LINE432_Klf9_D	-0.26572660960501304	0.6039866401013081	1.9009088189273535e-48	1.0058206857431142e-47	0.5280077067490675	0.34397321562305255	0.29570654	-0.50647795
ENSMUSG00000002393_LINE1573_Nr2f6_D_N1	0.26566403087861196	0.4533589086563889	2.003389743088009e-48	1.0498532788297739e-47	0.43133548225340296	0.5942873115981425	-0.2289192	0.52847296
ENSMUSG00000016458_LINE2218_Wt1_I	-0.26506367573221135	0.7044201830518618	3.313047681229631e-48	1.719629510733475e-47	0.5647648904452996	0.3427269367080209	0.2520876	-0.5982549
ENSMUSG00000029595_LINE1256_Lhx5_D	-0.26487988554133257	0.6180472691345301	3.863616171266003e-48	1.9864818993773315e-47	0.6326695592838376	0.40873278230032484	0.63615125	-0.942365
ENSMUSG00000039656_LINE1628_Rxrb_D_N1	0.26486333406234486	0.5182223555601209	3.9174558503359025e-48	1.9953396620869783e-47	0.42152049222836274	0.6080191009927622	-0.32404453	0.53013986
ENSMUSG00000025959_LINE374_Klf7_D	0.26277172132827137	0.5616158510130697	2.2338801691314435e-47	1.1272821223857746e-46	0.3884502867398564	0.5780812879574112	-0.36807758	0.5280289
ENSMUSG00000048450_LINE1363_Msx1_D	-0.26179965648322273	0.632011234236753	4.990097491893666e-47	2.495048745946833e-46	0.6196871854836641	0.3963221671169669	0.63800365	-0.8581906
ENSMUSG00000046897_LINE544_Zfp740_D_N3	-0.26022803928116084	0.6354339268558062	1.8169152989247386e-46	9.001989435581659e-46	0.5711159402470974	0.3640917375983823	0.44566366	-0.6160586
ENSMUSG00000009734_LINE1475_Pou6f2_I	-0.2601947460320196	0.6304610731410872	1.8671628813755287e-46	9.16760153468165e-46	0.5868287004522423	0.37553339731136065	0.4821898	-0.78008115
ENSMUSG00000079560_LINE1441_Hoxa3_D_N2	-0.2575201100736616	0.6386880015962203	1.64947686996708e-45	8.026472269036238e-45	0.609427195812691	0.38785610143148846	0.55396694	-0.7808767
ENSMUSG00000047407_LINE1362_Tgif1_D	0.2568410068187583	0.529196585411103	2.8564034287626545e-45	1.377645901482873e-44	0.38491774007596474	0.5599157890360145	-0.43898302	0.38238788
ENSMUSG00000003847_LINE1653_Nfat5_I	-0.2561477792773317	0.5145370539902608	4.994800950227411e-45	2.387865366556087e-44	0.5158043862567614	0.35807228520130013	0.2603222	-0.5099916
ENSMUSG00000018263_LINE1793_Tbx5_D	0.2555357572229531	0.5550500361211287	8.169033544818299e-45	3.838037312005149e-44	0.3980049588287863	0.5894488776962655	-0.40659985	0.47957852
ENSMUSG00000000094_LINE1789_Tbx4_D	0.2555357572229531	0.5550500361211287	8.169033544818299e-45	3.838037312005149e-44	0.3980049588287863	0.5894488776962655	-0.40659985	0.47957852
ENSMUSG00000033016_LINE1662_Nfatc1_I	-0.25332552511467704	0.473697773145455	4.774684273082677e-44	2.2241050673761187e-43	0.5165255523388201	0.36915973738463453	0.25604331	-0.4490716
ENSMUSG00000028341_LINE1617_Nr4a3_I	0.2532480676800673	0.4795271697259691	5.077851527284668e-44	2.3452788833645287e-43	0.4180503910692078	0.5868249357812042	-0.25294095	0.5198542
ENSMUSG00000039191_LINE2108_Rbpj_I_N3	0.25308312361887786	0.4867670349952415	5.788708456373103e-44	2.6511311838011267e-43	0.40570392122774124	0.5725263828970619	-0.3634131	0.36759728
ENSMUSG00000035923_LINE117_Myf6_D_N1	0.25262379239543414	0.5810279529874282	8.333351690006731e-44	3.78473055921139e-43	0.3905912764917217	0.5892503961123735	-0.4361883	0.50967085
ENSMUSG00000001288_LINE1567_Rarg_D_N1	0.2504816637151328	0.5269142903320757	4.513420301824505e-43	2.0329041855325248e-42	0.3983849129067894	0.5784190113165075	-0.35692596	0.5326641
ENSMUSG00000032238_LINE1621_Rora_D	0.2500577367911176	0.5228729264866592	6.2931770457573744e-43	2.8112963032276793e-42	0.40326302674231457	0.583781943604764	-0.32286623	0.4811083
ENSMUSG00000026565_LINE1482_Pou2f1_D_N1	-0.24897345265452378	0.5867534525153503	1.468465321779163e-42	6.506614637151575e-42	0.6091560640608686	0.4022586165476774	0.52367294	-0.896133
ENSMUSG00000023034_LINE6710_Nr4a1_I_N5	0.248945425812438	0.4256455606007	1.5009005058959996e-42	6.596699804139676e-42	0.4426281793988712	0.5979581289065931	-0.15668805	0.54507667
ENSMUSG00000024986_LINE1216_Hhex_I	0.24857564189555312	0.4765796506266533	2.001826506056469e-42	8.727963566406205e-42	0.41859709474091106	0.586367534528082	-0.25084692	0.51777494
ENSMUSG00000068302_LINE1413_Noto_D	-0.2484836967118315	0.5890576727417538	2.1502716333898863e-42	9.30077809680546e-42	0.5997544721715651	0.3953507357198265	0.5279682	-0.7755926
ENSMUSG00000041483_LINE489_Zfp281_D_N1	-0.24788137854141062	0.5940379375915303	3.4331203545333494e-42	1.473268183638327e-41	0.5735004446856594	0.37656092655962414	0.41484722	-0.6075336
ENSMUSG00000028042_LINE386_Zbtb7b_D	-0.24648402400562747	0.553951940216756	1.011507313725126e-41	4.3068084842202627e-41	0.5598843993580233	0.3781777318774417	0.37510693	-0.49990657
ENSMUSG00000022510_LINE6881_Trp63_I_N2	-0.24486665044823538	0.47280518659976567	3.502966919212493e-41	1.4799356364114795e-40	0.623173232068231	0.4462406771354988	0.87926054	-0.42549118
ENSMUSG00000009739_LINE1170_Pou6f1_D_N2	-0.244755289850307	0.6203258141555364	3.814466904810793e-41	1.59914189470914e-40	0.56852102953449	0.36634181342782607	0.41521484	-0.71699834
ENSMUSG00000028736_LINE1249_Pax7_D	-0.24277988038326093	0.6356895717064418	1.7163788938316835e-40	7.140660283498225e-40	0.523682711752627	0.3334958586583116	0.2784326	-0.709661
ENSMUSG00000038236_LINE1314_Hoxa7_D_N2	-0.24157290485949381	0.5232615286258006	4.273699371306858e-40	1.7645198161835133e-39	0.6251378535701092	0.43192704606603183	0.56649476	-0.8005378
ENSMUSG00000015846_LINE1581_Rxra_D_N1	0.24009587544302796	0.4499402928597973	1.2961411874656414e-39	5.311255241870485e-39	0.41972773635969013	0.5770010932776513	-0.28668895	0.44372532
ENSMUSG00000038346_LINE1233_Zfp384_I	-0.23882832474200744	0.4539594368678524	3.338459271276886e-39	1.357806196153659e-38	0.5404173736256839	0.39182478999259124	0.23253313	-0.43658942
ENSMUSG00000027552_LINE994_E2f5_I	-0.23755847694304832	0.4920423502543992	8.565757956973913e-39	3.4580282122598386e-38	0.5539314029950393	0.3909652841676062	0.30651778	-0.43678507
ENSMUSG00000025323_LINE369_Sp4_D_N2	-0.2369404171591002	0.55877552498031	1.3522797419824324e-38	5.419062201326659e-38	0.5483216121037988	0.36903232148821824	0.21992905	-0.5463639
ENSMUSG00000035310_LINE968_Lin54_I	-0.23500724875132906	0.48611673899314467	5.592714888546995e-38	2.2248391344949724e-37	0.5383660738483771	0.38150278725810216	0.25228214	-0.4725514
ENSMUSG00000042448_LINE1348_Hoxd1_D	-0.23415192329339085	0.5555837923986282	1.0438432792370707e-37	4.122424544813069e-37	0.597284197346548	0.40318504445065695	0.46878335	-0.871442
ENSMUSG00000026686_LINE1227_Lmx1a_D	-0.2337169165450498	0.5684041455961314	1.432353111120219e-37	5.616060759428196e-37	0.6064006606923115	0.40567738574725615	0.57108736	-0.71689034
ENSMUSG00000039087_LINE476_Rreb1_I	-0.23365912337667208	0.47580077419291844	1.493775142115721e-37	5.815053231807628e-37	0.5730529599154486	0.4092544678522519	0.32736892	-0.4490116
ENSMUSG00000070691_LINE7301_Runx3_I_N3	0.2331917521831943	0.5653990686295965	2.09685922224215e-37	8.047804761422336e-37	0.37575457750595054	0.5608383832474162	-0.4268444	0.7399665
ENSMUSG00000022952_LINE1674_Runx1_D	0.2331917521831943	0.5653990686295965	2.09685922224215e-37	8.047804761422336e-37	0.37575457750595054	0.5608383832474162	-0.4268444	0.7399665
